variant_name,layer_index,probe_name,run_count,exactness_mean,exactness_std,curl_energy_mean,curl_energy_std,exactness_positional_mean,exactness_positional_std,curl_energy_positional_mean,curl_energy_positional_std
pretrained,0,exact,5,1.0,0.0,8.034972633792645e-16,3.5705789650375144e-17,1.0,0.0,1.76395795560411e-15,8.093792428979709e-17
pretrained,0,pairwise,5,0.8910077347523636,0.022174641228516027,0.32697679037357574,0.0665239222407601,0.9118787499765555,0.017746868443743426,0.26436375422118646,0.05324060655417609
pretrained,1,exact,5,1.0,0.0,7.782193979168794e-16,2.86305772623462e-17,1.0,0.0,1.774490140911902e-15,1.1203763341417987e-16
pretrained,1,pairwise,5,0.9064163067274623,0.013682825862415844,0.28075108238998736,0.041048480221158604,0.9081285648047924,0.012461173482922003,0.27561430675300974,0.0373835217604102
pretrained,2,exact,5,1.0,0.0,7.736931259524104e-16,3.0014993902245693e-17,1.0,0.0,1.71079675148064e-15,6.726254257980147e-17
pretrained,2,pairwise,5,0.9523228978117307,0.009888158134443662,0.14303130528941338,0.029664474379035712,0.9581494841310713,0.00892254851383085,0.12555155155892458,0.026767642839198462
pretrained,3,exact,5,1.0,0.0,7.764464283482651e-16,2.8719297492206096e-17,1.0,0.0,1.7248545687151497e-15,7.276140498289125e-17
pretrained,3,pairwise,5,0.955348628345463,0.0042016218111675715,0.13395411868372725,0.012604864822185625,0.9596596480243736,0.005447659667623947,0.12102105477743963,0.016342974295399097
pretrained,4,exact,5,1.0,0.0,7.41100610785788e-16,4.9447507084973955e-17,1.0,0.0,1.7461111714728795e-15,1.0069419761743872e-16
pretrained,4,pairwise,5,0.9651444061762757,0.005255738699364886,0.10456678130414933,0.015767216202184308,0.9674409536851777,0.003895417575317338,0.09767713910922693,0.011686249406442693
pretrained,5,exact,5,1.0,0.0,7.748932641695263e-16,3.505627674956301e-17,1.0,0.0,1.6835190403842251e-15,1.126709629804359e-16
pretrained,5,pairwise,5,0.9733860498501195,0.00595562609588266,0.0798418501699214,0.017866881084502146,0.9747201713422934,0.0052906677270133946,0.07583948850725493,0.015872004655707626
pretrained,6,exact,5,1.0,0.0,7.730615425630258e-16,3.4239179712904276e-17,1.0,0.0,1.7244631625105757e-15,9.297619287614988e-17
pretrained,6,pairwise,5,0.9692273034817642,0.006207563313541249,0.09231808700779867,0.01862269056127528,0.9715578859051068,0.006357717045256383,0.08532634091728444,0.019073149226262485
pretrained,7,exact,5,1.0,0.0,7.490264882144967e-16,1.0684128830300317e-17,1.0,0.0,1.782994736690574e-15,1.0955957274775513e-16
pretrained,7,pairwise,5,0.9730884707636304,0.004032735245332493,0.08073459052312602,0.012098202097880031,0.9758240377737416,0.004467244813317677,0.07252789144630595,0.013401733274856057
pretrained,8,exact,5,1.0,0.0,7.310359171799013e-16,3.1047253496527733e-17,1.0,0.0,1.8812530839361013e-15,1.1592252739397175e-16
pretrained,8,pairwise,5,0.9657112552887863,0.003152065168304044,0.10286623620987585,0.009456197393687306,0.9696244030363029,0.003731028941530443,0.09112679743516815,0.011193087541074497
pretrained,9,exact,5,1.0,0.0,7.272345730234296e-16,2.358895352520623e-17,1.0,0.0,1.8208327412066858e-15,1.0616154593714547e-16
pretrained,9,pairwise,5,0.9722286169727643,0.005967541946256359,0.08331414739902053,0.017902624044394466,0.9766925742228826,0.0031036056210789584,0.06992227762327982,0.009310822749579253
pretrained,10,exact,5,1.0,0.0,7.225611531989876e-16,6.434538653607982e-17,1.0,0.0,1.7287176404803706e-15,1.0844011926791707e-16
pretrained,10,pairwise,5,0.9742487985226843,0.0046749210555222555,0.07725360923116871,0.014024762338698458,0.9771677135593362,0.003889354202086059,0.06849685385322017,0.011668065309614287
pretrained,11,exact,5,1.0,0.0,7.121361380754002e-16,3.730440007884276e-17,1.0,0.0,1.7654906070914828e-15,1.0059685707339531e-16
pretrained,11,pairwise,5,0.9782792789240677,0.011633686141837964,0.06516215919101442,0.0349010598553085,0.9826945402555995,0.006608183424360687,0.05191638051385073,0.019824550539867192
pretrained,12,exact,5,1.0,0.0,7.450615453518088e-16,7.231153005423474e-17,1.0,0.0,1.795612111017861e-15,1.0874222315917037e-16
pretrained,12,pairwise,5,0.9592244173089663,0.010416463510292394,0.12232674830900375,0.031249390358099285,0.9652444154024125,0.010051640966437018,0.10426675482433186,0.03015493006180515
random_control,0,exact,5,1.0,0.0,7.507620901379023e-16,3.1467734993965434e-17,1.0,0.0,1.953395788334826e-15,1.1923295885823919e-16
random_control,0,pairwise,5,0.9534016946123706,0.0058982563014880135,0.13979491779625985,0.01769476784821042,0.936246260172791,0.022543249796598094,0.19126121931896906,0.06762975086815871
random_control,1,exact,5,1.0,0.0,7.441580312899403e-16,3.016572146368793e-17,1.0,0.0,2.010448871284658e-15,8.789873272844115e-17
random_control,1,pairwise,5,0.9471029777493742,0.022337812128781886,0.15869106764536506,0.06701343720556954,0.9308661525448163,0.03980229571189023,0.2074015386376737,0.11940688653082737
random_control,2,exact,5,1.0,0.0,7.182372177945439e-16,6.515033863273894e-17,1.0,0.0,2.0618135549964758e-15,1.644502462388469e-16
random_control,2,pairwise,5,0.9375371132459905,0.020895371915470053,0.18738866063067688,0.06268611602929253,0.9185941986739635,0.034794275625648456,0.24421740242978557,0.10438282124068943
random_control,3,exact,5,1.0,0.0,7.016452952638146e-16,7.590027467682633e-17,1.0,0.0,1.881576359427904e-15,1.8560357590100465e-16
random_control,3,pairwise,5,0.9606321145262983,0.006779125028179559,0.11810365876622705,0.020337376380653735,0.9605935403870212,0.009171367265741056,0.11821938031353056,0.027514106460110665
random_control,4,exact,5,1.0,0.0,6.681755245346152e-16,8.247628443950294e-17,1.0,0.0,1.859823886451022e-15,1.43540910541191e-16
random_control,4,pairwise,5,0.953750457531876,0.006114940649183474,0.13874862337607838,0.018344823532336126,0.9494183364841673,0.00950763433685355,0.1517449877703459,0.028522905702439275
random_control,5,exact,5,1.0,0.0,6.627349887631456e-16,3.9919684897418166e-17,1.0,0.0,1.869728860331457e-15,1.3676244186491329e-16
random_control,5,pairwise,5,0.9414646022849612,0.015760317821906483,0.1756061972655718,0.04728095434890862,0.9353136194248994,0.020120158169742813,0.19405914192385454,0.060360479659226654
random_control,6,exact,5,1.0,0.0,6.334691017497284e-16,9.608705360449101e-17,1.0,0.0,1.827742925105311e-15,1.0469573008906745e-16
random_control,6,pairwise,5,0.9530195895168516,0.012707306171529008,0.14094123146541176,0.03812191764674338,0.9487070541414949,0.017626703932266063,0.15387883684371545,0.05288011533280621
random_control,7,exact,5,1.0,0.0,6.467868433761281e-16,8.1233712283595e-17,1.0,0.0,1.850871073776833e-15,2.1041574179087706e-16
random_control,7,pairwise,5,0.953381192104684,0.014769600025121206,0.13985641909364657,0.044308798141651076,0.9481519716481368,0.017479512265767317,0.1555440878308016,0.052438540359409036
random_control,8,exact,5,1.0,0.0,6.684407540607117e-16,6.294911145264082e-17,1.0,0.0,1.9168483273346728e-15,1.2022553698840896e-16
random_control,8,pairwise,5,0.96458073630929,0.01024446185940034,0.10625779314019988,0.03073338427215575,0.9636906252966987,0.009006889809165771,0.108928124739436,0.02702066835624587
random_control,9,exact,5,1.0,0.0,6.921328316351076e-16,5.78191434075272e-17,1.0,0.0,1.931073104909835e-15,1.8132710992247167e-16
random_control,9,pairwise,5,0.9558178670704365,0.020626245563487508,0.13254639734780843,0.06187873863818717,0.951844077805678,0.023024010153054945,0.1444677698312767,0.06907202782960087
random_control,10,exact,5,1.0,0.0,6.809799625589993e-16,3.0309079174371255e-17,1.0,0.0,1.9472784555827898e-15,3.1699403887636153e-16
random_control,10,pairwise,5,0.9600438819991217,0.013035405351732811,0.11986835327706002,0.039106213306964246,0.954772118313445,0.014666512775061286,0.13568364472917488,0.04399953579345594
random_control,11,exact,5,1.0,0.0,6.745202454136299e-16,2.0342866222817736e-17,1.0,0.0,1.8858260222506806e-15,1.4876333119856128e-16
random_control,11,pairwise,5,0.9671980888479286,0.013477515547733257,0.09840573423862224,0.040432544000053895,0.9647315576672554,0.014034578740415042,0.10580533640928075,0.04210373733666732
random_control,12,exact,5,1.0,0.0,6.7115324779515475e-16,5.255410250299385e-17,1.0,0.0,1.835431113030565e-15,1.6618917646311654e-16
random_control,12,pairwise,5,0.9652047506637044,0.0054244946274142015,0.1043857471299513,0.016273484857993743,0.9622953738603327,0.008717552754428523,0.11311388026369969,0.026152660692930648
